term,"dict_address","dict_adjective","dict_adverb","dict_first_name","dict_medical","dict_noun","dict_preposition","dict_pronoun","dict_surname","dict_verb","past_participle","past_tense",plural,"present_tense"
roofs,,,,,,roofs,,,,,,,True,
room,,,,,,room,,,,room,,,,
roomed,,,,,,,,,,roomed,,True,,
rooming,,,,,,,,,,rooming,,,,True
rooms,,,,,,rooms,,,,,,,True,
rope,,,,,,rope,,,,rope,,,,
roped,,,,,,,,,,roped,,True,,
ropes,,,,,,ropes,,,,,,,True,
roping,,,,,,,,,,roping,,,,True
rory,,,,rory,,,,,,,,,,
rosa,,,,rosa,,,,,,,,,,
rosales,,,,,,,,,rosales,,,,,
rosalie,,,,rosalie,,,,,,,,,,
rosalyn,,,,rosalyn,,,,,,,,,,
rosario,,,,,,,,,rosario,,,,,
rosas,,,,,,,,,rosas,,,,,
rose,,,,rose,,,,,rose,rose,,True,,
roselyn,,,,roselyn,,,,,,,,,,
rosemary,,,,rosemary,,,,,,,,,,
rosie,,,,rosie,,,,,,,,,,
ross,,,,,,,,,ross,,,,,
roth,,,,,,,,,roth,,,,,
rough,,rough,,,,rough,,,,,,,,
roughly,,,roughly,,,,,,,,,,,
roughs,,,,,,roughs,,,,,,,True,
round,,round,,,,round,,,,,,,,
rounds,,,,,,rounds,,,,,,,True,
route,route,,,,,,,,,,,,,
routine,,routine,,,,routine,,,,,,,,
routines,,,,,,routines,,,,,,,True,
row,row,,,,,row,,,,row,,,,
rowan,,,,rowan,,,,,,,,,,
rowe,,,,,,,,,rowe,,,,,
rowed,,,,,,,,,,rowed,,True,,
rowen,,,,rowen,,,,,,,,,,
rowing,,,,,,,,,,rowing,,,,True
rowland,,,,,,,,,rowland,,,,,
rows,,,,,,rows,,,,,,,True,
roy,,,,roy,,,,,roy,,,,,
royal,,royal,,royal,,royal,,,,,,,,
royals,,,,,,royals,,,,,,,True,
royalty,,,,royalty,,,,,,,,,,
royce,,,,royce,,,,,,,,,,
rpd,rpd,,,,,,,,,,,,,
rpds,rpds,,,,,,,,,,,,,
rst,rst,,,,,,,,,,,,,
rte,rte,,,,,,,,,,,,,
rub,,,,,,rub,,,,rub,,,,
rubed,,,,,,,,,,rubed,,True,,
ruben,,,,ruben,,,,,,,,,,
rubing,,,,,,,,,,rubing,,,,True
rubio,,,,,,,,,rubio,,,,,
rubs,,,,,,rubs,,,,,,,True,
ruby,,,,ruby,,,,,,,,,,
rudy,,,,rudy,,,,,,,,,,
rue,rue,,,,,,,,,,,,,
ruin,,,,,,ruin,,,,ruin,,,,
ruined,,,,,,,,,,ruined,,True,,
ruining,,,,,,,,,,ruining,,,,True
ruins,,,,,,ruins,,,,,,,True,
ruiz,,,,,,,,,ruiz,,,,,
rule,,,,,,rule,,,,rule,,,,
ruled,,,,,,,,,,ruled,,True,,
rules,,,,,,rules,,,,,,,True,
ruling,,,,,,,,,,ruling,,,,True
run,run,,,,,run,,,,run,True,,,
runs,,,,,,runs,,,,,,,True,
rush,,,,,,rush,,,rush,rush,,,,
rushed,,,,,,,,,,rushed,,True,,
rushing,,,,,,,,,,rushing,,,,True
rushs,,,,,,rushs,,,,,,,True,
russell,,,,russell,,,,,russell,,,,,
russo,,,,,,,,,russo,,,,,
ruth,,,,ruth,,,,,,,,,,
rvr,rvr,,,,,,,,,,,,,
ryan,,,,ryan,,,,,ryan,,,,,
ryann,,,,ryann,,,,,,,,,,
ryder,,,,ryder,,,,,,,,,,
ryker,,,,ryker,,,,,,,,,,
rylan,,,,rylan,,,,,,,,,,
ryland,,,,ryland,,,,,,,,,,
rylee,,,,rylee,,,,,,,,,,
ryleigh,,,,ryleigh,,,,,,,,,,
rylie,,,,rylie,,,,,,,,,,
saanvi,,,,saanvi,,,,,,,,,,
sabrina,,,,sabrina,,,,,,,,,,
sad,,sad,,,,sad,,,,,,,,
sadie,,,,sadie,,,,,,,,,,
sads,,,,,,sads,,,,,,,True,
safe,,safe,,,,safe,,,,,,,,
safes,,,,,,safes,,,,,,,True,
safeties,,,,,,safeties,,,,,,,True,
safety,,,,,,safety,,,,,,,,
sage,,,,sage,,,,,,,,,,
said,,,,,,,,,,said,True,,,
saige,,,,saige,,,,,,,,,,
sail,,,,,,sail,,,,sail,,,,
sailed,,,,,,,,,,sailed,,True,,
sailing,,,,,,,,,,sailing,,,,True
sails,,,,,,sails,,,,,,,True,
salad,,,,,,salad,,,,,,,,
salads,,,,,,salads,,,,,,,True,
salaries,,,,,,salaries,,,,,,,True,
salary,,,,,,salary,,,,salary,,,,
salaryed,,,,,,,,,,salaryed,,True,,
salarying,,,,,,,,,,salarying,,,,True
salas,,,,,,,,,salas,,,,,
salazar,,,,,,,,,salazar,,,,,
sale,,,,,,sale,,,,,,,,
sales,,,,,,sales,,,,,,,True,
salgado,,,,,,,,,salgado,,,,,
salinas,,,,,,,,,salinas,,,,,
salma,,,,salma,,,,,,,,,,
salt,,salt,,,,salt,,,,,,,,
salts,,,,,,salts,,,,,,,True,
salvador,,,,salvador,,,,,,,,,,
salvatore,,,,salvatore,,,,,,,,,,
sam,,,,sam,,,,,,,,,,
samantha,,,,samantha,,,,,,,,,,
samara,,,,samara,,,,,,,,,,
same,,same,,,,,,same,,,,,,
samir,,,,samir,,,,,,,,,,
samira,,,,samira,,,,,,,,,,
sample,,,,,,sample,,,,,,,,
samples,,,,,,samples,,,,,,,True,
sampson,,,,,,,,,sampson,,,,,
samson,,,,samson,,,,,,,,,,
samuel,,,,samuel,,,,,,,,,,
sanchez,,,,,,,,,sanchez,,,,,
sand,,,,,,sand,,,,sand,,,,
sanded,,,,,,,,,,sanded,,True,,
sanders,,,,,,,,,sanders,,,,,
sanding,,,,,,,,,,sanding,,,,True
sandoval,,,,,,,,,sandoval,,,,,
sandra,,,,sandra,,,,,,,,,,
sands,,,,,,sands,,,,,,,True,
sandwich,,,,,,sandwich,,,,sandwich,,,,
sandwiched,,,,,,,,,,sandwiched,,True,,
sandwiching,,,,,,,,,,sandwiching,,,,True
sandwichs,,,,,,sandwichs,,,,,,,True,
sanford,,,,,,,,,sanford,,,,,
sanitize,,,,,,,,,,sanitize,,,,
sanitizing,,,,,,,,,,sanitizing,,,,True
sank,,,,,,,,,,sank,,True,,
santana,,,,santana,,,,,santana,,,,,
santiago,,,,santiago,,,,,santiago,,,,,
santino,,,,santino,,,,,,,,,,
santos,,,,santos,,,,,santos,,,,,
saoirse,,,,saoirse,,,,,,,,,,
sara,,,,sara,,,,,,,,,,
sarah,,,,sarah,,,,,,,,,,
sarai,,,,sarai,,,,,,,,,,
sariah,,,,sariah,,,,,,,,,,
sariyah,,,,sariyah,,,,,,,,,,
sasha,,,,sasha,,,,,,,,,,
sat,,,,,,,,,,sat,True,,,
satisfaction,,,,,,satisfaction,,,,,,,,
satisfactions,,,,,,satisfactions,,,,,,,True,
saul,,,,saul,,,,,,,,,,
saunders,,,,,,,,,saunders,,,,,
savage,,,,,,,,,savage,,,,,
savanna,,,,savanna,,,,,,,,,,
savannah,,,,savannah,,,,,,,,,,
save,,,,,,save,,,,save,,,,
saved,,,,,,,,,,saved,,True,,
saves,,,,,,saves,,,,,,,True,
saving,,,,,,,,,,saving,,,,True
savings,,savings,,,,savings,,,,,,,,
savingses,,,,,,savingses,,,,,,,True,
saw,,,,,,,,,,saw,,True,,
sawyer,,,,sawyer,,,,,sawyer,,,,,
say,,,,,,,,,,say,,,,
sayed,,,,,,,,,,sayed,,True,,
saying,,,,,,,,,,saying,,,,True
saylor,,,,saylor,,,,,,,,,,
scale,,,,,,scale,,,,scale,,,,
scaled,,,,,,,,,,scaled,,True,,
scales,,,,,,scales,,,,,,,True,
scaling,,,,,,,,,,scaling,,,,True
scared,,scared,,,,,,,,,,,,
scarlet,,,,scarlet,,,,,,,,,,
scarlett,,,,scarlett,,,,,,,,,,
scarlette,,,,scarlette,,,,,,,,,,
scene,,,,,,scene,,,,,,,,
scenes,,,,,,scenes,,,,,,,True,
schaefer,,,,,,,,,schaefer,,,,,
schedule,,,,,,schedule,,,,schedule,,,,
scheduled,,,,,,,,,,scheduled,,True,,
schedules,,,,,,schedules,,,,,,,True,
scheduling,,,,,,,,,,scheduling,,,,True
scheme,,,,,,scheme,,,,scheme,,,,
schemed,,,,,,,,,,schemed,,True,,
schemes,,,,,,schemes,,,,,,,True,
scheming,,,,,,,,,,scheming,,,,True
schmidt,,,,,,,,,schmidt,,,,,
schmitt,,,,,,,,,schmitt,,,,,
schneider,,,,,,,,,schneider,,,,,
school,,,,,,school,,,,school,,,,
schooled,,,,,,,,,,schooled,,True,,
schooling,,,,,,,,,,schooling,,,,True
schools,,,,,,schools,,,,,,,True,
schroeder,,,,,,,,,schroeder,,,,,
schultz,,,,,,,,,schultz,,,,,
schwartz,,,,,,,,,schwartz,,,,,
science,,,,,,science,,,,,,,,
sciences,,,,,,sciences,,,,,,,True,
score,,,,,,score,,,,score,,,,
scored,,,,,,,,,,scored,,True,,
scores,,,,,,scores,,,,,,,True,
scoring,,,,,,,,,,scoring,,,,True
scott,,,,scott,,,,,scott,,,,,
scratch,,,,,,scratch,,,,scratch,,,,
scratched,,,,,,,,,,scratched,,True,,
scratching,,,,,,,,,,scratching,,,,True
scratchs,,,,,,scratchs,,,,,,,True,
screen,,,,,,screen,,,,screen,,,,
screened,,,,,,,,,,screened,,True,,
screening,,,,,,,,,,screening,,,,True
screens,,,,,,screens,,,,,,,True,
screw,,,,,,screw,,,,screw,,,,
screwed,,,,,,,,,,screwed,,True,,
screwing,,,,,,,,,,screwing,,,,True
screws,,,,,,screws,,,,,,,True,
script,,,,,,script,,,,script,,,,
scripted,,,,,,,,,,scripted,,True,,
scripting,,,,,,,,,,scripting,,,,True
scripts,,,,,,scripts,,,,,,,True,
sea,,sea,,,,sea,,,,,,,,
seamus,,,,seamus,,,,,,,,,,
sean,,,,sean,,,,,,,,,,
search,,,,,,search,,,,search,,,,
searched,,,,,,,,,,searched,,True,,
searching,,,,,,,,,,searching,,,,True
searchs,,,,,,searchs,,,,,,,True,
seas,,,,,,seas,,,,,,,True,
season,,,,,,season,,,,season,,,,
seasoned,,,,,,,,,,seasoned,,True,,
seasoning,,,,,,,,,,seasoning,,,,True
seasons,,,,,,seasons,,,,,,,True,
seat,,,,,,seat,,,,seat,,,,
seated,,,,,,,,,,seated,,True,,
seating,,,,,,,,,,seating,,,,True
seats,,,,,,seats,,,,,,,True,
sebastian,,,,sebastian,,,,,,,,,,
second,,,,,,second,,,,,,,,
seconds,,,,,,seconds,,,,,,,True,
secret,,secret,,,,secret,,,,,,,,
secretaries,,,,,,secretaries,,,,,,,True,
secretary,,,,,,secretary,,,,,,,,
secrets,,,,,,secrets,,,,,,,True,
section,,,,,,section,,,,section,,,,
sectioned,,,,,,,,,,sectioned,,True,,
sectioning,,,,,,,,,,sectioning,,,,True
sections,,,,,,sections,,,,,,,True,
sector,,,,,,sector,,,,,,,,
sectors,,,,,,sectors,,,,,,,True,
secure,,secure,,,,,,,,secure,,,,
secured,,,,,,,,,,secured,,True,,
securing,,,,,,,,,,securing,,,,True
securities,,,,,,securities,,,,,,,True,
security,,,,,,security,,,,,,,,
see,,,,,,,,,,see,,,,
seed,,,,,,,,,,seed,,True,,
seeing,,,,,,,,,,seeing,,,,True
seek,,,,,,,,,,seek,,,,
seeked,,,,,,,,,,seeked,,True,,
seeking,,,,,,,,,,seeking,,,,True
seem,,,,,,,,,,seem,,,,
seemed,,,,,,,,,,seemed,,True,,
seeming,,,,,,,,,,seeming,,,,True
seen,,,,,,,,,,seen,True,,,
selah,,,,selah,,,,,,,,,,
select,,select,,,,,,,,select,,,,
selected,,,,,,,,,,selected,,True,,
selecting,,,,,,,,,,selecting,,,,True
selection,,,,,,selection,,,,,,,,
selections,,,,,,selections,,,,,,,True,
selena,,,,selena,,,,,,,,,,
selene,,,,selene,,,,,,,,,,
self,,,,,,self,,self,,,,,,
selfs,,,,,,selfs,,,,,,,True,
sell,,,,,,sell,,,,sell,,,,
selled,,,,,,,,,,selled,,True,,
sellers,,,,,,,,,sellers,,,,,
selling,,,,,,,,,,selling,,,,True
sells,,,,,,sells,,,,,,,True,
send,,,,,,,,,,send,,,,
sended,,,,,,,,,,sended,,True,,
sending,,,,,,,,,,sending,,,,True
senior,,senior,,,,senior,,,,,,,,
seniors,,,,,,seniors,,,,,,,True,
sense,,,,,,sense,,,,sense,,,,
sensed,,,,,,,,,,sensed,,True,,
senses,,,,,,senses,,,,,,,True,
sensing,,,,,,,,,,sensing,,,,True
sensitive,,sensitive,,,,sensitive,,,,,,,,
sensitives,,,,,,sensitives,,,,,,,True,
sent,,,,,,,,,,sent,True,,,
sentence,,,,,,sentence,,,,sentence,,,,
sentenced,,,,,,,,,,sentenced,,True,,
sentences,,,,,,sentences,,,,,,,True,
sentencing,,,,,,,,,,sentencing,,,,True
separate,,separate,,,,,,,,separate,,,,
separated,,,,,,,,,,separated,,True,,
separating,,,,,,,,,,separating,,,,True
serena,,,,serena,,,,,,,,,,
serenity,,,,serenity,,,,,,,,,,
sergio,,,,sergio,,,,,,,,,,
series,,,,,,series,,,,,,,,
serieses,,,,,,serieses,,,,,,,True,
serious,,serious,,,,,,,,,,,,
seriously,,,seriously,,,,,,,,,,,
serrano,,,,,,,,,serrano,,,,,
serve,,,,,,serve,,,,serve,,,,
served,,,,,,,,,,served,,True,,
serves,,,,,,serves,,,,,,,True,
service,,,,,,service,,,,service,,,,
serviced,,,,,,,,,,serviced,,True,,
services,,,,,,services,,,,,,,True,
servicing,,,,,,,,,,servicing,,,,True
serving,,,,,,,,,,serving,,,,True
session,,,,,,session,,,,,,,,
sessions,,,,,,sessions,,,,,,,True,
set,,,,,,set,,,,set,True,,,
seth,,,,seth,,,,,,,,,,
sets,,,,,,sets,,,,,,,True,
setting,,,,,,setting,,,,,,,,
settings,,,,,,settings,,,,,,,True,
settle,,,,,,,,,,settle,,,,
settled,,,,,,,,,,settled,,True,,
settling,,,,,,,,,,settling,,,,True
several,,several,,,,,,,,,,,,
severe,,severe,,,,,,,,,,,,
sex,,,,,,sex,,,,sex,,,,
sexed,,,,,,,,,,sexed,,True,,
sexing,,,,,,,,,,sexing,,,,True
sexs,,,,,,sexs,,,,,,,True,
sexton,,,,,,,,,sexton,,,,,
sexual,,sexual,,,,,,,,,,,,
shaffer,,,,,,,,,shaffer,,,,,
shah,,,,,,,,,shah,,,,,
shake,,,,,,shake,,,,shake,,,,
shaked,,,,,,,,,,shaked,,True,,
shaken,,,,,,,,,,shaken,True,,,
shakes,,,,,,shakes,,,,,,,True,
shaking,,,,,,,,,,shaking,,,,True
shall,,,,,,,,,,shall,,,,
shalled,,,,,,,,,,shalled,,True,,
shalling,,,,,,,,,,shalling,,,,True
shame,,,,,,shame,,,,shame,,,,
shamed,,,,,,,,,,shamed,,True,,
shames,,,,,,shames,,,,,,,True,
shaming,,,,,,,,,,shaming,,,,True
shane,,,,shane,,,,,,,,,,
shannon,,,,,,,,,shannon,,,,,
shape,,,,,,shape,,,,shape,,,,
shaped,,,,,,,,,,shaped,,True,,
shapes,,,,,,shapes,,,,,,,True,
shaping,,,,,,,,,,shaping,,,,True
share,,,,,,share,,,,share,,,,
shared,,,,,,,,,,shared,,True,,
shares,,,,,,shares,,,,,,,True,
sharing,,,,,,,,,,sharing,,,,True
sharp,,sharp,,,,,,,sharp,sharp,,,,
sharped,,,,,,,,,,sharped,,True,,
sharping,,,,,,,,,,sharping,,,,True
shaun,,,,shaun,,,,,,,,,,
shaw,,,,,,,,,shaw,,,,,
shawn,,,,shawn,,,,,,,,,,
she,,,,,,she,,she,,,,,,
shelby,,,,shelby,,,,,,,,,,
shelter,,,,,,shelter,,,,shelter,,,,
sheltered,,,,,,,,,,sheltered,,True,,
sheltering,,,,,,,,,,sheltering,,,,True
shelters,,,,,,shelters,,,,,,,True,
shelton,,,,,,,,,shelton,,,,,
shepard,,,,shepard,,,,,shepard,,,,,
shepherd,,,,shepherd,,,,,shepherd,,,,,
sheppard,,,,,,,,,sheppard,,,,,
sherman,,,,,,,,,sherman,,,,,
shes,,,,,,shes,,,,,,,True,
shields,,,,,,,,,shields,,,,,
shift,,,,,,shift,,,,shift,,,,
shifted,,,,,,,,,,shifted,,True,,
shifting,,,,,,,,,,shifting,,,,True
shifts,,,,,,shifts,,,,,,,True,
shiloh,,,,shiloh,,,,,,,,,,
shine,,,,,,shine,,,,shine,,,,
shined,,,,,,,,,,shined,,True,,
shines,,,,,,shines,,,,,,,True,
shining,,,,,,,,,,shining,,,,True
ship,,,,,,ship,,,,ship,,,,
shiped,,,,,,,,,,shiped,,True,,
shiping,,,,,,,,,,shiping,,,,True
ships,,,,,,ships,,,,,,,True,
shirt,,,,,,shirt,,,,,,,,
shirts,,,,,,shirts,,,,,,,True,
shl,shl,,,,,,,,,,,,,
shls,shls,,,,,,,,,,,,,
shmuel,,,,shmuel,,,,,,,,,,
shoal,shoal,,,,,,,,,,,,,
shoals,shoals,,,,,,,,,,,,,
shoar,shoar,,,,,,,,,,,,,
shoars,shoars,,,,,,,,,,,,,
shock,,,,,,shock,,,,shock,,,,
shocked,,,,,,,,,,shocked,,True,,
shocking,,,,,,,,,,shocking,,,,True
shocks,,,,,,shocks,,,,,,,True,
shoe,,,,,,shoe,,,,shoe,,,,
shoed,,,,,,,,,,shoed,,True,,
shoes,,,,,,shoes,,,,,,,True,
shoing,,,,,,,,,,shoing,,,,True
shone,,,,,,,,,,shone,True,,,
shook,,,,,,,,,,shook,,True,,
shoot,,,,,,shoot,,,,shoot,,,,
shooted,,,,,,,,,,shooted,,True,,
shooting,,,,,,,,,,shooting,,,,True
shoots,,,,,,shoots,,,,,,,True,
shop,,,,,,shop,,,,shop,,,,
shoped,,,,,,,,,,shoped,,True,,
shoping,,,,,,,,,,shoping,,,,True
shopping,,,,,,shopping,,,,,,,,
shoppings,,,,,,shoppings,,,,,,,True,
shops,,,,,,shops,,,,,,,True,
shore,shore,,,,,,,,,,,,,
shores,shores,,,,,,,,,,,,,
short,,short,short,,,,,,short,,,,,
shot,,shot,,,,shot,,,,shot,True,,,
shots,,,,,,shots,,,,,,,True,
shoulder,,,,,,shoulder,,,,shoulder,,,,
shouldered,,,,,,,,,,shouldered,,True,,
shouldering,,,,,,,,,,shouldering,,,,True
shoulders,,,,,,shoulders,,,,,,,True,
show,,,,,,show,,,,show,,,,
showed,,,,,,,,,,showed,,True,,
shower,,,,,,shower,,,,shower,,,,
showered,,,,,,,,,,showered,,True,,
showering,,,,,,,,,,showering,,,,True
showers,,,,,,showers,,,,,,,True,
showing,,,,,,,,,,showing,,,,True
shown,,,,,,,,,,shown,True,,,
shows,,,,,,shows,,,,,,,True,
shr,shr,,,,,,,,,,,,,
shrs,shrs,,,,,,,,,,,,,
shut,,,,,,,,,,shut,True,,,
sick,,sick,,,,sick,,,,,,,,
sicks,,,,,,sicks,,,,,,,True,
side,,,,,,side,,,,side,,,,
sided,,,,,,,,,,sided,,True,,
sides,,,,,,sides,,,,,,,True,
siding,,,,,,,,,,siding,,,,True
siena,,,,siena,,,,,,,,,,
sienna,,,,sienna,,,,,,,,,,
sierra,,,,sierra,,,,,sierra,,,,,
sign,,,,,,sign,,,,sign,,,,
signal,,signal,,,,signal,,,,,,,,
signals,,,,,,signals,,,,,,,True,
signature,,,,,,signature,,,,,,,,
signatures,,,,,,signatures,,,,,,,True,
signed,,,,,,,,,,signed,,True,,
significance,,,,,,significance,,,,,,,,
significances,,,,,,significances,,,,,,,True,
significant,,significant,,,,,,,,,,,,
significantly,,,significantly,,,,,,,,,,,
signing,,,,,,,,,,signing,,,,True
signs,,,,,,signs,,,,,,,True,
silas,,,,silas,,,,,,,,,,
sillies,,,,,,sillies,,,,,,,True,
silly,,silly,,,,silly,,,,,,,,
silva,,,,,,,,,silva,,,,,
silver,,silver,,,,silver,,,,,,,,
silvers,,,,,,silvers,,,,,,,True,
simeon,,,,simeon,,,,,,,,,,
similar,,similar,,,,,,,,,,,,
similarly,,,similarly,,,,,,,,,,,
simmons,,,,,,,,,simmons,,,,,
simon,,,,simon,,,,,simon,,,,,
simone,,,,simone,,,,,,,,,,
simple,,simple,,,,simple,,,,,,,,
simples,,,,,,simples,,,,,,,True,
simply,,,simply,,,,,,,,,,,
simpson,,,,,,,,,simpson,,,,,
sims,,,,,,,,,sims,,,,,
since,,,since,,,,since,,,,,,,
sincere,,,,sincere,,,,,,,,,,
sing,,,,,,sing,,,,sing,,,,
singed,,,,,,,,,,singed,,True,,
singer,,,,,,singer,,,,,,,,
singers,,,,,,singers,,,,,,,True,
singh,,,,,,,,,singh,,,,,
singing,,,,,,,,,,singing,,,,True
single,,single,,,,single,,,,,,,,
singles,,,,,,singles,,,,,,,True,
singleton,,,,,,,,,singleton,,,,,
sings,,,,,,sings,,,,,,,True,
sink,,,,,,sink,,,,sink,,,,
sinked,,,,,,,,,,sinked,,True,,
sinking,,,,,,,,,,sinking,,,,True
sinks,,,,,,sinks,,,,,,,True,
sir,,,,,,sir,,,,,,,,
sirs,,,,,,sirs,,,,,,,True,
sister,,,,,,sister,,,,,,,,
sisters,,,,,,sisters,,,,,,,True,
sit,,,,,,,,,,sit,,,,
site,,,,,,site,,,,site,,,,
sited,,,,,,,,,,sited,,True,,
sites,,,,,,sites,,,,,,,True,
siting,,,,,,,,,,siting,,,,True
situation,,,,,,situation,,,,,,,,
situations,,,,,,situations,,,,,,,True,
size,,,,,,size,,,,size,,,,
sized,,,,,,,,,,sized,,True,,
sizes,,,,,,sizes,,,,,,,True,
sizing,,,,,,,,,,sizing,,,,True
skies,,,,,,skies,,,,,,,True,
skill,,,,,,skill,,,,,,,,
skills,,,,,,skills,,,,,,,True,
skin,,,,,,skin,,,,skin,,,,
skined,,,,,,,,,,skined,,True,,
skining,,,,,,,,,,skining,,,,True
skinner,,,,,,,,,skinner,,,,,
skins,,,,,,skins,,,,,,,True,
skirt,,,,,,skirt,,,,skirt,,,,
skirted,,,,,,,,,,skirted,,True,,
skirting,,,,,,,,,,skirting,,,,True
skirts,,,,,,skirts,,,,,,,True,
skwy,skwy,,,,,,,,,,,,,
sky,,,,sky,,sky,,,,sky,,,,
skye,,,,skye,,,,,,,,,,
skyed,,,,,,,,,,skyed,,True,,
skying,,,,,,,,,,skying,,,,True
skyla,,,,skyla,,,,,,,,,,
skylar,,,,skylar,,,,,,,,,,
skyler,,,,skyler,,,,,,,,,,
skyway,skyway,,,,,,,,,,,,,
sleep,,,,,,sleep,,,,sleep,,,,
sleeped,,,,,,,,,,sleeped,,True,,
sleeping,,,,,,,,,,sleeping,,,,True
sleeps,,,,,,sleeps,,,,,,,True,
slept,,,,,,,,,,slept,True,,,
slice,,,,,,slice,,,,slice,,,,
sliced,,,,,,,,,,sliced,,True,,
slices,,,,,,slices,,,,,,,True,
slicing,,,,,,,,,,slicing,,,,True
slid,,,,,,,,,,slid,True,,,
slide,,,,,,slide,,,,slide,,,,
slided,,,,,,,,,,slided,,True,,
slides,,,,,,slides,,,,,,,True,
sliding,,,,,,,,,,sliding,,,,True
slight,,slight,,,,,,,,slight,,,,
slighted,,,,,,,,,,slighted,,True,,
slighting,,,,,,,,,,slighting,,,,True
slightly,,,slightly,,,,,,,,,,,
slip,,,,,,slip,,,,slip,,,,
sliped,,,,,,,,,,sliped,,True,,
sliping,,,,,,,,,,sliping,,,,True
slips,,,,,,slips,,,,,,,True,
sloan,,,,sloan,,,,,sloan,,,,,
sloane,,,,sloane,,,,,,,,,,
slow,,slow,slow,,,,,,,,,,,
slowly,,,slowly,,,,,,,,,,,
small,,small,small,,,,,,small,,,,,
smart,,smart,,,,,,,,smart,,,,
smarted,,,,,,,,,,smarted,,True,,
smarting,,,,,,,,,,smarting,,,,True
smell,,,,,,smell,,,,smell,,,,
smelled,,,,,,,,,,smelled,True,True,,
smelling,,,,,,,,,,smelling,,,,True
smells,,,,,,smells,,,,,,,True,
smelt,,,,,,,,,,smelt,,True,,
smile,,,,,,smile,,,,smile,,,,
smiled,,,,,,,,,,smiled,,True,,
smiles,,,,,,smiles,,,,,,,True,
smiling,,,,,,,,,,smiling,,,,True
smith,,,,,,,,,smith,,,,,
smoke,,,,,,smoke,,,,smoke,,,,
smoked,,,,,,,,,,smoked,,True,,
smokes,,,,,,smokes,,,,,,,True,
smoking,,,,,,,,,,smoking,,,,True
smooth,,smooth,smooth,,,,,,,,,,,
smt,smt,,,,,,,,,,,,,
snow,,,,,,snow,,,snow,snow,,,,
snowed,,,,,,,,,,snowed,,True,,
snowing,,,,,,,,,,snowing,,,,True
snows,,,,,,snows,,,,,,,True,
snyder,,,,,,,,,snyder,,,,,
so,,,so,,,,,,,,,,,
societies,,,,,,societies,,,,,,,True,
society,,,,,,society,,,,,,,,
sock,,,,,,sock,,,,sock,,,,
socked,,,,,,,,,,socked,,True,,
socking,,,,,,,,,,socking,,,,True
socks,,,,,,socks,,,,,,,True,
sofia,,,,sofia,,,,,,,,,,
soft,,soft,,,,soft,,,,,,,,
softs,,,,,,softs,,,,,,,True,
software,,,,,,software,,,,,,,,
softwares,,,,,,softwares,,,,,,,True,
soil,,,,,,soil,,,,soil,,,,
soiled,,,,,,,,,,soiled,,True,,
soiling,,,,,,,,,,soiling,,,,True
soils,,,,,,soils,,,,,,,True,
sold,,,,,,,,,,sold,True,,,
solid,,solid,,,,solid,,,,,,,,
solids,,,,,,solids,,,,,,,True,
solis,,,,,,,,,solis,,,,,
solomon,,,,solomon,,,,,solomon,,,,,
solution,,,,,,solution,,,,,,,,
solutions,,,,,,solutions,,,,,,,True,
solve,,,,,,,,,,solve,,,,
solved,,,,,,,,,,solved,,True,,
solving,,,,,,,,,,solving,,,,True
some,,some,,,,,,some,,,,,,
somebody,,,,,,,,somebody,,,,,,
somehow,,,somehow,,,,,,,,,,,
someone,,,,,,,,someone,,,,,,
something,,,,,,,,something,,,,,,
sometimes,,,sometimes,,,,,,,,,,,
somewhat,,,somewhat,,,,,,,,,,,
somewhere,,,somewhere,,,somewhere,,,,,,,,
somewheres,,,,,,somewheres,,,,,,,True,
son,,,,,,son,,,,,,,,
song,,,,,,song,,,,,,,,
songs,,,,,,songs,,,,,,,True,
sonia,,,,sonia,,,,,,,,,,
sonny,,,,sonny,,,,,,,,,,
sons,,,,,,sons,,,,,,,True,
soon,,,soon,,,,,,,,,,,
sophia,,,,sophia,,,,,,,,,,
sophie,,,,sophie,,,,,,,,,,
soren,,,,soren,,,,,,,,,,
sorry,,sorry,,,,,,,,,,,,
sort,,,,,,sort,,,,sort,,,,
sorted,,,,,,,,,,sorted,,True,,
sorting,,,,,,,,,,sorting,,,,True
sorts,,,,,,sorts,,,,,,,True,
sosa,,,,,,,,,sosa,,,,,
soto,,,,,,,,,soto,,,,,
sought,,,,,,,,,,sought,True,,,
sound,,,,,,sound,,,,sound,,,,
sounded,,,,,,,,,,sounded,,True,,
sounding,,,,,,,,,,sounding,,,,True
sounds,,,,,,sounds,,,,,,,True,
soup,,,,,,soup,,,,,,,,
soups,,,,,,soups,,,,,,,True,
source,,,,,,source,,,,source,,,,
sourced,,,,,,,,,,sourced,,True,,
sources,,,,,,sources,,,,,,,True,
sourcing,,,,,,,,,,sourcing,,,,True
south,,south,,,,south,,,,,,,,
southern,,southern,,,,,,,,,,,,
souths,,,,,,souths,,,,,,,True,
space,,,,,,space,,,,space,,,,
spaced,,,,,,,,,,spaced,,True,,
spaces,,,,,,spaces,,,,,,,True,
spacing,,,,,,,,,,spacing,,,,True
spare,,spare,,,,spare,,,,,,,,
spares,,,,,,spares,,,,,,,True,
sparks,,,,,,,,,sparks,,,,,
speak,,,,,,,,,,speak,,,,
speaked,,,,,,,,,,speaked,,True,,
speaker,,,,,,speaker,,,,,,,,
speakers,,,,,,speakers,,,,,,,True,
